"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"25,28\",\"1515\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"20,29\",\"1517\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"16,29\",\"1519\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"12,29\",\"1521\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"9,29\",\"1523\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"6,29\",\"1525\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"2,29\",\"1527\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a1\",\"0,29\",\"1529\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseout\",\"a1\",\"out\",\"1531\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseover\",\"a0\",\"in\",\"1535\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"97,29\",\"1535\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"93,29\",\"1540\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"92,29\",\"1541\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"89,29\",\"1543\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"88,29\",\"1545\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"87,29\",\"1547\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"86,29\",\"1549\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"84,29\",\"1551\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"82,29\",\"1555\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"81,29\",\"1559\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"80,29\",\"1563\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"79,29\",\"1565\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"78,29\",\"1571\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"77,29\",\"1583\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"76,29\",\"1635\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"75,29\",\"1641\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"74,29\",\"1647\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"73,29\",\"1651\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"72,29\",\"1653\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"71,29\",\"1657\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"70,29\",\"1661\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"68,29\",\"1665\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"67,29\",\"1669\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"a0\",\"66,29\",\"1671\","-1"
