"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"81,28\",\"3158\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"84,28\",\"3166\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"87,28\",\"3174\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"90,28\",\"3182\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"95,28\",\"3190\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"99,28\",\"3198\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseout\",\"c1\",\"out\",\"3207\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c1\",\"\",\"3215\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c2\",\"270 ; 270\",\"3215\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"1,28\",\"3216\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"5,29\",\"3229\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"10,29\",\"3231\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"16,30\",\"3238\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"19,30\",\"3246\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"23,30\",\"3254\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"28,30\",\"3262\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"30,31\",\"3270\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"32,31\",\"3278\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"34,31\",\"3286\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"35,31\",\"3294\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"36,31\",\"3311\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"37,31\",\"3334\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c2\",\"38,31\",\"3351\","-1"
