"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"40,38\",\"2330\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"40,39\",\"2343\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"39,39\",\"2354\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"39,40\",\"2362\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"38,41\",\"2370\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"37,43\",\"2378\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"36,45\",\"2386\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"b0\",\"35,47\",\"2394\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseout\",\"b0\",\"out\",\"2402\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"b0\",\"\",\"2419\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"c0\",\"156 ; 0\",\"2419\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"34,2\",\"2420\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"34,5\",\"2434\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,8\",\"2435\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,11\",\"2443\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,13\",\"2450\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,16\",\"2458\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,19\",\"2466\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,22\",\"2474\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"33,23\",\"2489\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"34,25\",\"2490\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"35,27\",\"2498\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"36,29\",\"2506\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"37,30\",\"2522\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"39,30\",\"2616\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"44,30\",\"2621\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"48,30\",\"2630\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"55,30\",\"2634\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"65,29\",\"2642\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"73,29\",\"2651\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"80,29\",\"2658\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c0\",\"92,28\",\"2668\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseout\",\"c0\",\"out\",\"2680\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"c0\",\"\",\"2683\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mouseover\",\"c1\",\"156 ; 0\",\"2683\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"4,28\",\"2684\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"14,28\",\"2690\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"22,28\",\"2704\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"27,28\",\"2707\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"34,28\",\"2716\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"39,28\",\"2723\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"44,28\",\"2735\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"46,29\",\"2738\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"49,29\",\"2746\","-1"
"25","","","4_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:51",""mousemove\",\"c1\",\"51,29\",\"2754\","-1"
