"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"btn2\",\"Strategie 2\",\"5666\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"btn2\",\"Strategie 2\",\"5764\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"btn2\",\"Strategie 2\",\"5952\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"btn2\",\"Strategie 2\",\"5983\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"btn1\",\"Strategie 1\",\"6028\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""onclick\",\"btn1\",\"Strategie 2\",\"6696\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"btn1\",\"Strategie 1\",\"8198\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"84.43000030517578,40.279998779296875\",\"8548\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"56.43000030517578,38.279998779296875\",\"8561\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"30.42999839782715,34.279998779296875\",\"8569\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"7.429999828338623,31.279998779296875\",\"8580\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"b1\",\"out\",\"8594\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"93.80999755859375,23.279998779296875\",\"8636\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"91.80999755859375,23.279998779296875\",\"8645\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"90.80999755859375,23.279998779296875\",\"8662\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"89.80999755859375,23.279998779296875\",\"8667\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"87.80999755859375,23.279998779296875\",\"8678\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b0\",\"85.80999755859375,23.279998779296875\",\"8690\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""fertig\",\"fertig\",\"fertig\",\"8696\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"b0\",\"out\",\"9379\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""fertig\",\"erwartung\",\"92\",\"14617\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""onload\",\"body\",\"body\",\"124\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""subject\",\"random\",\"1\",\"135\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""order\",\"col\",\"0_1\",\"136\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""order\",\"row\",\"1_0\",\"136\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""events\",\"open_close\",\"1_1\",\"136\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""mouseover\",\"btn2\",\"Strategie 2\",\"369\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""mouseout\",\"btn2\",\"Strategie 2\",\"417\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""fertig\",\"fertig\",\"fertig\",\"939\","-1"
"16","v1","","4_2x2_2.php","Toady","158.181.92.0","","2014-10-06 13:33:45",""submit\",\"erwartung\",\"2\",\"9509\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""onload\",\"body\",\"body\",\"91\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""subject\",\"random\",\"1\",\"98\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""order\",\"col\",\"0_1\",\"98\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""order\",\"row\",\"1_0\",\"98\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""events\",\"open_close\",\"1_1\",\"98\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mouseover\",\"a1\",\"36 ; 55\",\"488\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"99,45\",\"488\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"92,44\",\"500\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"77,41\",\"529\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"74,41\",\"535\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"72,40\",\"543\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"70,40\",\"551\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"69,40\",\"559\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"68,40\",\"567\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"62,40\",\"684\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"61,40\",\"687\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"60,40\",\"695\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"59,39\",\"735\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"59,38\",\"743\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"59,37\",\"759\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"59,36\",\"863\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"59,35\",\"873\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"63,32\",\"880\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"70,29\",\"899\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"b1\",\"92,20\",\"920\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mouseout\",\"b1\",\"out\",\"940\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mouseover\",\"btn2\",\"Strategie 2\",\"1218\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mouseout\",\"btn2\",\"Strategie 2\",\"1340\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mouseover\",\"a1\",\"\",\"1341\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mouseover\",\"b1\",\"12 ; 16\",\"1341\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"a1\",\"77,13\",\"1343\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"a1\",\"70,13\",\"1343\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"a1\",\"64,13\",\"1351\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"a1\",\"57,13\",\"1367\","-1"
"21","v2","","4_2x2_2.php","Haribo","84.44.242.245","btn1","2014-10-06 13:42:11",""mousemove\",\"a1\",\"55,13\",\"1381\","-1"
